Department,region,Education,Gender,recruitment_channel,no_of_trainings,Age,previous_year_rating,awards_won,avg_training_score,is_promoted
Sales & Marketing,region_7,Master's Degree,Female,sourcing,1,35,5,0,49,0
Operations,region_22,Bachelor's Degree,Male,other,1,30,5,0,60,0
Sales & Marketing,region_19,Bachelor's Degree,Male,sourcing,1,34,3,0,50,0
Sales & Marketing,region_23,Bachelor's Degree,Male,other,2,39,1,0,50,0
Technology,region_26,Bachelor's Degree,Male,other,1,45,3,0,73,0
Analytics,region_2,Bachelor's Degree,Male,sourcing,2,31,3,0,85,0
Operations,region_20,Bachelor's Degree,Female,other,1,31,3,0,59,0
Operations,region_34,Master's Degree,Male,sourcing,1,33,3,0,63,0
Analytics,region_20,Bachelor's Degree,Male,other,1,28,4,0,83,0
Sales & Marketing,region_1,Master's Degree,Male,sourcing,1,32,5,0,54,0
Technology,region_23,PhD,Male,sourcing,1,30,0,0,77,0
Sales & Marketing,region_7,Bachelor's Degree,Female,sourcing,1,35,5,0,50,1
Sales & Marketing,region_4,Bachelor's Degree,Male,sourcing,1,49,5,0,49,0
Technology,region_29,Master's Degree,Male,other,2,39,3,0,80,0
R&D,region_2,Master's Degree,Male,sourcing,1,37,3,0,84,0
Operations,region_7,Bachelor's Degree,Male,other,1,37,1,0,60,0
Technology,region_2,Bachelor's Degree,Male,other,1,38,3,0,77,0
Sales & Marketing,region_31,Bachelor's Degree,Male,other,1,34,1,0,51,0
Sales & Marketing,region_31,Bachelor's Degree,Male,other,1,34,5,0,46,0
Operations,region_15,Bachelor's Degree,Male,other,1,37,3,0,59,0
Procurement,region_14,Bachelor's Degree,Male,other,1,35,3,0,75,0
Operations,region_15,PhD,Male,sourcing,1,41,4,0,57,0
Finance,region_11,Bachelor's Degree,Female,other,1,28,3,0,63,0
Procurement,region_5,Bachelor's Degree,Male,other,1,27,0,0,70,0
Finance,region_22,Master's Degree,Male,sourcing,2,39,5,0,59,0
Technology,region_22,Bachelor's Degree,Male,other,1,27,5,0,83,0
Procurement,region_26,Bachelor's Degree,Male,other,1,31,5,0,68,0
Technology,region_26,Bachelor's Degree,Male,other,1,33,4,0,79,0
Analytics,region_5,Bachelor's Degree,Male,other,1,29,5,0,80,0
Sales & Marketing,region_4,Bachelor's Degree,Male,sourcing,1,26,0,0,44,0
Procurement,region_15,Bachelor's Degree,Male,sourcing,1,37,5,0,72,0
Finance,region_31,Bachelor's Degree,Male,other,2,26,1,0,39,0
Sales & Marketing,region_7,PhD,Female,sourcing,1,24,1,0,48,0
Operations,region_2,Bachelor's Degree,Male,sourcing,2,57,4,0,58,0
Analytics,region_22,Bachelor's Degree,Male,other,2,27,5,0,87,0
Sales & Marketing,region_22,Bachelor's Degree,Male,other,1,40,2,0,47,0
