Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,,,
32,Male,Bachelor's Degree,Software Engineer,5,90000,UK,White,,,
28,Female,Master's Degree,Data Analyst,3,65000,USA,Hispanic,,,
45,Male,PhD,Senior Manager,15,150000,Canada,White,,,
36,Female,Bachelor's Degree,Sales Associate,7,60000,USA,Hispanic,,,
52,Male,Master's Degree,Director,20,200000,USA,Asian,,,
29,Male,Bachelor's Degree,Marketing Analyst,2,55000,USA,Hispanic,,,
42,Female,Master's Degree,Product Manager,12,120000,USA,Asian,,,
31,Male,Bachelor's Degree,Sales Manager,4,80000,China,Korean,,,
26,Female,Bachelor's Degree,Marketing Coordinator,1,45000,China,Chinese,,,
38,Male,PhD,Senior Scientist,10,110000,Australia,Australian,,,
29,Male,Master's Degree,Software Developer,3,75000,UK,Welsh,,,
48,Female,Bachelor's Degree,HR Manager,18,140000,UK,Asian,,,
35,Male,Bachelor's Degree,Financial Analyst,6,65000,China,Korean,,,
40,Female,Master's Degree,Project Manager,14,130000,USA,African American,,,
27,Male,Bachelor's Degree,Customer Service Rep,2,40000,Canada,Asian,,,
44,Male,Bachelor's Degree,Operations Manager,16,125000,China,Chinese,,,
33,Female,Master's Degree,Marketing Manager,7,90000,USA,Asian,,,
39,Male,PhD,Senior Engineer,12,115000,UK,Mixed,,,
25,Female,Bachelor's Degree,Data Entry Clerk,0,35000,UK,Asian,,,
51,Male,Bachelor's Degree,Sales Director,22,180000,Australia,Asian,,,
34,Female,Master's Degree,Business Analyst,5,80000,China,Korean,,,
47,Male,Master's Degree,VP of Operations,19,190000,UK,White,,,
30,Male,Bachelor's Degree,IT Support,2,50000,UK,Asian,,,
36,Female,Bachelor's Degree,Recruiter,9,60000,China,White,,,
41,Male,Master's Degree,Financial Manager,13,140000,USA,African American,,,
28,Female,Bachelor's Degree,Social Media Specialist,3,45000,Canada,White,,,
37,Female,Master's Degree,Software Manager,11,110000,Australia,Asian,,,
24,Male,Bachelor's Degree,Junior Developer,1,40000,Australia,Asian,,,
43,Female,PhD,Senior Consultant,15,140000,Canada,Black,,,
33,Male,Master's Degree,Product Designer,6,90000,China,Korean,,,
50,Male,Bachelor's Degree,CEO,25,250000,Canada,Asian,,,
31,Female,Bachelor's Degree,Accountant,4,55000,UK,White,,,
29,Male,Master's Degree,Data Scientist,3,75000,USA,Hispanic,,,
39,Female,Bachelor's Degree,Marketing Specialist,10,65000,Canada,White,,,
46,Male,PhD,Senior Manager,20,170000,USA,Hispanic,,,
27,Male,Bachelor's Degree,Technical Writer,2,45000,Australia,Asian,,,
35,Female,Bachelor's Degree,HR Generalist,7,60000,UK,White,,,
42,Male,Master's Degree,Project Engineer,14,115000,China,White,,,
26,Female,Bachelor's Degree,Customer Success Rep,1,40000,Canada,Asian,,,
49,Male,Bachelor's Degree,Sales Executive,21,160000,China,White,,,
34,Female,Master's Degree,UX Designer,5,80000,UK,Asian,,,
48,Male,Master's Degree,Operations Director,18,190000,Canada,Black,,,
30,Male,Bachelor's Degree,Network Engineer,3,60000,China,Korean,,,
36,Female,Bachelor's Degree,Administrative Assistant,8,45000,UK,Asian,,,
41,Male,Master's Degree,Strategy Consultant,13,130000,UK,Asian,,,
28,Female,Bachelor's Degree,Copywriter,2,40000,USA,White,,,
32,Male,Bachelor's Degree,Account Manager,5,75000,Australia,Asian,,,
45,Female,Master's Degree,Director of Marketing,16,180000,UK,Welsh,,,
38,Male,PhD,Senior Scientist,11,120000,Australia,Asian,,,
25,Male,Bachelor's Degree,Help Desk Analyst,0,35000,USA,Asian,,,
51,Female,Bachelor's Degree,Customer Service Manager,22,130000,China,Korean,,,
33,Male,Master's Degree,Business Intelligence Analyst,7,85000,Australia,Australian,,,
40,Female,Bachelor's Degree,Event Coordinator,12,60000,China,White,,,
47,Male,Master's Degree,VP of Finance,19,200000,Australia,Asian,,,
29,Female,Bachelor's Degree,Graphic Designer,3,50000,Canada,Black,,,
36,Male,Bachelor's Degree,Sales Manager,9,95000,China,Korean,,,
27,Female,Master's Degree,UX Researcher,2,65000,Canada,White,,,
43,Male,PhD,Senior Engineer,17,140000,USA,Hispanic,,,
30,Female,Bachelor's Degree,Social Media Manager,4,55000,Canada,White,,,
35,Male,Master's Degree,Product Manager,7,105000,Canada,Asian,,,
51,Female,Master's Degree,Director of Operations,23,170000,USA,African American,,,
29,Male,Bachelor's Degree,Marketing Analyst,3,50000,China,Chinese,,,
40,Female,Bachelor's Degree,HR Manager,12,80000,China,Korean,,,
47,Male,PhD,Senior Data Scientist,21,180000,China,White,,,
26,Male,Bachelor's Degree,Junior Accountant,1,35000,Australia,Australian,,,
38,Female,Master's Degree,Digital Marketing Manager,10,90000,China,Korean,,,
46,Male,Bachelor's Degree,IT Manager,19,120000,Australia,Australian,,,
31,Female,Bachelor's Degree,Customer Service Representative,5,45000,Canada,Asian,,,
34,Male,Master's Degree,Business Development Manager,8,90000,Canada,Asian,,,
49,Female,Master's Degree,Senior Financial Analyst,18,150000,Canada,White,,,
33,Male,Bachelor's Degree,Web Developer,6,65000,USA,Hispanic,,,
39,Female,Bachelor's Degree,Recruiter,11,70000,USA,Asian,,,
45,Male,PhD,Research Director,16,190000,UK,Mixed,,,
28,Male,Bachelor's Degree,Technical Support Specialist,2,40000,China,Korean,,,
42,Female,Master's Degree,Creative Director,14,120000,Canada,Black,,,
37,Male,Bachelor's Degree,Project Manager,10,95000,USA,Asian,,,
50,Female,Bachelor's Degree,Operations Manager,22,160000,USA,White,,,
32,Male,Master's Degree,Senior Software Engineer,6,100000,USA,African American,,,
48,Female,Master's Degree,Human Resources Director,20,180000,Canada,Black,,,
30,Female,Bachelor's Degree,Content Marketing Manager,3,55000,Australia,White,,,
36,Male,Bachelor's Degree,Technical Recruiter,8,70000,UK,Asian,,,
41,Female,Master's Degree,Data Analyst,13,80000,USA,White,,,
25,Male,Bachelor's Degree,Sales Representative,0,30000,Australia,Asian,,,
52,Male,PhD,Chief Technology Officer,24,250000,Canada,Black,,,
29,Female,Bachelor's Degree,Junior Designer,2,40000,Australia,Asian,,,
34,Female,Master's Degree,Financial Advisor,10,95000,UK,White,,,
27,Male,Bachelor's Degree,Junior Account Manager,2,45000,Canada,White,,,
40,Female,Bachelor's Degree,HR Generalist,15,80000,USA,Hispanic,,,
46,Male,Master's Degree,Senior Project Manager,21,135000,Canada,Asian,,,
31,Female,Bachelor's Degree,Marketing Coordinator,6,55000,Australia,Asian,,,
36,Male,PhD,Principal Scientist,11,120000,UK,Mixed,,,
29,Female,Bachelor's Degree,Sales Associate,3,40000,China,White,,,
43,Male,Bachelor's Degree,Supply Chain Manager,18,105000,UK,Welsh,,,
52,Female,Master's Degree,Senior Marketing Manager,25,170000,China,Chinese,,,
33,Male,Bachelor's Degree,Business Analyst,7,75000,Australia,Australian,,,
39,Female,Bachelor's Degree,Training Specialist,12,65000,USA,African American,,,
47,Male,PhD,Research Scientist,22,160000,Australia,Asian,,,
26,Male,Bachelor's Degree,Junior Software Developer,1,35000,China,White,,,
38,Female,Master's Degree,Public Relations Manager,10,90000,UK,Asian,,,
45,Male,Bachelor's Degree,Operations Analyst,20,110000,China,Chinese,,,
31,Female,Bachelor's Degree,Event Coordinator,5,45000,Australia,Asian,,,
35,Male,Master's Degree,Product Marketing Manager,8,95000,China,White,,,
49,Female,Master's Degree,Senior HR Manager,19,150000,Australia,White,,,
33,Male,Bachelor's Degree,Junior Web Developer,5,50000,Canada,Asian,,,
39,Female,Master's Degree,Senior Project Coordinator,13,80000,UK,Welsh,,,
44,Male,PhD,Chief Data Officer,16,220000,USA,African American,,,
30,Female,Bachelor's Degree,Digital Content Producer,3,50000,UK,White,,,
36,Male,Bachelor's Degree,IT Support Specialist,7,60000,USA,Asian,,,
41,Female,Master's Degree,Senior Marketing Analyst,14,100000,USA,White,,,
28,Male,Bachelor's Degree,Customer Success Manager,2,40000,USA,Hispanic,,,
42,Female,Master's Degree,Senior Graphic Designer,15,110000,USA,Asian,,,
37,Male,Bachelor's Degree,Software Project Manager,9,95000,UK,White,,,
50,Female,Bachelor's Degree,Supply Chain Analyst,22,130000,UK,Welsh,,,
32,Male,Master's Degree,Senior Business Analyst,6,90000,USA,Asian,,,
23,Female,Bachelor's Degree,Junior Marketing Analyst,0.5,35000,USA,White,,,
31,Male,Master's Degree,Senior Financial Analyst,6,95000,Australia,Asian,,,
40,Female,Bachelor's Degree,Office Manager,15,65000,USA,White,,,
48,Male,PhD,Principal Engineer,20,170000,USA,Hispanic,,,
29,Female,Bachelor's Degree,Junior HR Generalist,3,45000,Australia,Australian,,,
35,Male,Master's Degree,Senior Product Manager,10,120000,Canada,White,,,
42,Female,Bachelor's Degree,Sales Manager,17,100000,China,Korean,,,
53,Male,Master's Degree,Director of Marketing,25,180000,UK,Mixed,,,
33,Female,Bachelor's Degree,Junior Operations Analyst,5,50000,Australia,Australian,,,
38,Male,Bachelor's Degree,Customer Service Manager,11,80000,China,White,,,
44,Female,PhD,Senior Scientist,16,140000,UK,Mixed,,,
26,Male,Bachelor's Degree,Junior Accountant,2,40000,UK,White,,,
37,Female,Master's Degree,Senior HR Generalist,9,95000,USA,African American,,,
